"","Sample","Eruption","Volume.km3.","num_min_age.wrt2000AD.","num_max_age.wrt2000AD.","Reference","Zone","SiO2","TiO2","Al2O3","FeOt","MgO","CaO","Na2O","K2O"
"197","l9393","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",50.24,0.99,14.97,11.35,8,11.98,2.04,0.14
"198","l9354","Langaviti",0.8,8500,10300,"Slater2001Stracke2003a","NNVZ",48.35,0.69,14.19,9.43,13,12.49,1.58,0.05
"199","GAE24","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.367,2.201,15.065,11.725,7.425,12.522,2.065,0.195
"200","FH9862","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.609,0.746,14.106,9.417,12.422,12.775,1.643,0.06
"201","GAE14","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.044,2.033,15.179,11.575,8.697,11.787,2.043,0.227
"202","FH9858","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.723,0.748,14.493,9.467,11.602,12.987,1.698,0.061
"203","FH9859","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.605,0.739,14.369,9.494,12.009,12.86,1.651,0.051
"204","l9311","Borgarhraun",0.9,8500,10300,"Slater2001Stracke2003a","NNVZ",48.13,0.71,14.34,9.4,13.2,12.4,1.55,0.05
"205","l9312","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.51,0.72,13.83,9.35,13.26,12.58,1.51,0.05
"206","l9313","Borgarhraun",0.9,8500,10300,"Slater2001Stracke2003a","NNVZ",47.72,0.61,13.23,9.34,15.76,11.65,1.44,0.05
"207","l9314","Borgarhraun",0.9,8500,10300,"Slater2001","NNVZ",48.45,0.67,14.21,9.09,13.23,12.55,1.55,0.05
"208","GAE15","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.031,1.942,15.625,11.203,8.431,12.239,1.939,0.181
"209","FH9857","Borgarhraun",0.9,8500,10300,"Maclennan2003","NNVZ",48.549,0.754,13.789,9.521,12.864,12.612,1.629,0.06
"210","GAE23","Gaesafjoll",7,12000,70000,"Maclennan2004","NNVZ",48.085,2.073,15.464,11.542,7.833,12.343,2.064,0.174
"211","KK54","Threngslaborgir",2,2300,2500,"Nicholson1991","NNVZ",49.39,1.52,14.86,11.32,7.69,12.63,2.11,0.16
"212","KK120@6",NA,NA,120000,190000,"Nicholson1991","NNVZ",50.52,1.67,13.88,14.13,6.33,10.6,2.23,0.25
"213","KK26@7",NA,NA,190000,210000,"Nicholson1991","NNVZ",66.77,0.78,13.29,6.32,1.93,4.9,3.81,1.87
"214","TH15","Borgarhraun",0.9,8500,10300,"Hemond1993","NNVZ",46.74,0.52,11.8,9.44,19.17,10.69,1.21,0.12
"215","l9396","Draugarhraun",0.1,10300,12000,"Nicholson1991","NNVZ",51.13,2.01,13.4,14.71,5.48,9.77,2.64,0.42
